overall_rating,potential,wage,release_clause_euro,club_rating,reactions,composure,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,value
61,70,0,0.004254531,71,63,60,59,59,59,59,60,60,60,59,61,61,61,60,62,62,62,60,375000
59,74,0,0.002903092,67,61,60,47,47,47,51,50,50,50,51,52,52,52,54,55,55,55,54,300000
71,71,0.037444934,0.013449324,75,66,66,53,53,53,49,51,51,51,49,51,51,51,49,56,56,56,49,1600000
63,74,0.004405286,0.023071754,64,47,46,58,58,58,64,61,61,61,64,60,60,60,63,53,53,53,63,625000
71,71,0.019823789,0.016452522,71,71,65,53,53,53,47,49,49,49,47,46,46,46,50,50,50,50,50,1800000
60,66,0,0.001676786,62,53,54,47,47,47,46,46,46,46,46,47,47,47,48,51,51,51,48,240000
62,77,0.004405286,0.007442927,79,63,48,62,62,62,61,61,61,61,61,59,59,59,59,52,52,52,59,650000
64,72,0.002202643,0.006441861,67,60,60,65,65,65,61,62,62,62,61,58,58,58,59,51,51,51,59,675000
65,68,0,0.004755064,70,57,58,58,58,58,60,59,59,59,60,59,59,59,61,59,59,59,61,575000
65,65,0.004405286,0.003003198,65,60,60,57,57,57,59,57,57,57,59,58,58,58,61,61,61,61,61,350000
71,74,0.013215859,0.020456786,70,62,69,64,64,64,66,66,66,66,66,68,68,68,68,71,71,71,68,2500000
62,63,0,0.002983177,57,57,55,63,63,63,64,63,63,63,64,60,60,60,62,52,52,52,62,375000
61,61,0,0.00128637,65,61,55,49,49,49,52,51,51,51,52,53,53,53,55,56,56,56,55,200000
65,65,0.002202643,0.003533763,66,60,60,61,61,61,66,64,64,64,66,65,65,65,65,62,62,62,65,575000
56,64,0,0.001206285,66,56,42,53,53,53,56,55,55,55,56,56,56,56,58,56,56,56,58,130000
62,70,0.002202643,0.004344627,64,64,58,45,45,45,50,46,46,46,50,46,46,46,51,47,47,47,51,375000
69,69,0.002202643,0.001501599,65,69,56,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,250000
66,66,0.002202643,0.004940261,65,64,66,67,67,67,64,65,65,65,64,62,62,62,64,55,55,55,64,700000
68,72,0.011013216,0.023071754,68,65,64,61,61,61,63,62,62,62,63,63,63,63,64,65,65,65,64,975000
57,60,0,0.000530565,67,47,64,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,90000
68,76,0.004405286,0.009945592,70,66,61,56,56,56,60,58,58,58,60,58,58,58,62,60,60,60,62,1100000
67,67,0.004405286,0.005941328,67,64,58,64,64,64,68,67,67,67,68,67,67,67,67,58,58,58,67,825000
69,77,0.002202643,0.013949857,71,69,71,70,70,70,66,68,68,68,66,64,64,64,63,56,56,56,63,1600000
54,66,0,0.00091097,66,39,39,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,100000
62,66,0,0.001791908,63,52,42,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,280000
65,75,0.002202643,0.009945592,70,58,49,63,63,63,66,65,65,65,66,64,64,64,65,56,56,56,65,875000
67,67,0.00660793,0.005941328,70,62,65,68,68,68,65,66,66,66,65,65,65,65,63,61,61,61,63,750000
66,66,0.004405286,0.001531631,64,59,63,65,65,65,67,66,66,66,67,66,66,66,66,63,63,63,66,220000
70,77,0.033039648,0.02596265,70,67,67,69,69,69,71,70,70,70,71,71,71,71,71,70,70,70,71,2500000
66,78,0.008810573,0.01294879,79,55,64,61,61,61,68,65,65,65,68,65,65,65,67,59,59,59,67,1200000
76,76,0.00660793,0.02596265,67,64,74,71,71,71,76,75,75,75,76,77,77,77,76,72,72,72,76,3400000
57,68,0,0.001251333,57,45,57,47,47,47,54,52,52,52,54,54,54,54,56,55,55,55,56,150000
56,68,0,0.00106113,70,42,47,50,50,50,58,55,55,55,58,57,57,57,57,53,53,53,57,150000
61,77,0.004405286,0.005941328,76,57,45,44,44,44,39,41,41,41,39,39,39,39,40,42,42,42,40,475000
63,63,0.002202643,0.001026093,66,60,56,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,150000
71,71,0.026431718,0.02596265,69,67,75,72,72,72,70,72,72,72,70,70,70,70,70,65,65,65,70,2600000
70,70,0.046255507,0.01294879,71,63,66,58,58,58,56,57,57,57,56,58,58,58,58,62,62,62,58,1400000
68,68,0.008810573,0.009945592,69,66,61,66,66,66,69,68,68,68,69,68,68,68,67,65,65,65,67,950000
65,65,0,0.002637809,60,64,73,57,57,57,58,59,59,59,58,61,61,61,60,64,64,64,60,400000
58,64,0.002202643,0.001341429,64,55,54,52,52,52,58,56,56,56,58,58,58,58,58,55,55,55,58,170000
69,69,0.013215859,0.006942394,71,72,62,61,61,61,64,62,62,62,64,64,64,64,66,66,66,66,66,750000
67,67,0.022026432,0.006441861,70,66,59,68,68,68,69,69,69,69,69,68,68,68,67,63,63,63,67,675000
63,63,0.004405286,0.00181193,65,59,56,57,57,57,60,58,58,58,60,58,58,58,61,60,60,60,61,300000
63,66,0.00660793,0.003829078,71,53,48,40,40,40,36,37,37,37,36,36,36,36,38,41,41,41,38,375000
69,69,0.004405286,0.006942394,65,65,69,66,66,66,67,67,67,67,67,69,69,69,67,70,70,70,67,775000
67,67,0.004405286,0.003018214,67,68,66,62,62,62,64,63,63,63,64,64,64,64,66,66,66,66,66,425000
69,70,0.015418502,0.023071754,68,67,64,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,825000
68,72,0.00660793,0.01294879,71,64,59,68,68,68,63,65,65,65,63,63,63,63,61,55,55,55,61,1200000
49,65,0,0.000405432,67,53,34,40,40,40,47,44,44,44,47,44,44,44,49,44,44,44,49,50000
70,74,0.008810573,0.015951989,70,66,59,60,60,60,61,60,60,60,61,59,59,59,63,63,63,63,63,1900000
70,70,0.004405286,0.023071754,68,66,68,71,71,71,63,66,66,66,63,62,62,62,61,55,55,55,61,1900000
64,64,0.004405286,0.003658897,65,57,51,59,59,59,65,63,63,63,65,64,64,64,65,58,58,58,65,425000
62,69,0.002202643,0.023071754,62,58,65,48,48,48,48,49,49,49,48,51,51,51,51,56,56,56,51,375000
70,70,0.00660793,0.010446125,69,65,67,59,59,59,64,62,62,62,64,63,63,63,65,65,65,65,65,1200000
64,69,0,0.004514808,64,58,62,57,57,57,63,61,61,61,63,64,64,64,63,64,64,64,63,600000
66,66,0,0.003313529,64,71,48,56,56,56,57,57,57,57,57,59,59,59,59,63,63,63,59,500000
63,68,0,0.003253465,63,51,58,61,61,61,63,61,61,61,63,60,60,60,64,58,58,58,64,500000
62,62,0,0.001376466,64,69,62,62,62,62,64,64,64,64,64,64,64,64,65,63,63,63,65,230000
70,71,0.015418502,0.013949857,68,67,66,53,53,53,53,51,51,51,53,52,52,52,56,56,56,56,56,1600000
64,74,0.002202643,0.005941328,69,58,60,60,60,60,65,64,64,64,65,65,65,65,65,61,61,61,65,725000
57,77,0.004405286,0.002547713,72,55,48,45,45,45,51,47,47,47,51,47,47,47,52,45,45,45,52,180000
65,65,0.002202643,0.003438662,65,62,53,47,47,47,54,51,51,51,54,54,54,54,58,57,57,57,58,400000
64,64,0.00660793,0.002908097,65,61,59,64,64,64,58,62,62,62,58,60,60,60,59,57,57,57,59,475000
67,67,0,0.003989249,64,72,74,53,53,53,58,58,58,58,58,62,62,62,60,65,65,65,60,600000
59,67,0,0.002182324,60,50,42,60,60,60,58,58,58,58,58,56,56,56,57,48,48,48,57,230000
71,78,0.013215859,0.028465316,76,60,50,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,2500000
76,76,0.151982379,0.027964782,79,79,84,74,74,74,76,76,76,76,76,76,76,76,76,77,77,77,76,3000000
58,69,0,0.001601706,68,48,46,40,40,40,38,38,38,38,38,37,37,37,39,38,38,38,39,190000
65,65,0.004405286,0.003378598,65,58,62,65,65,65,61,63,63,63,61,62,62,62,60,58,58,58,60,550000
68,71,0.004405286,0.008944526,70,66,67,67,67,67,68,69,69,69,68,69,69,69,69,68,68,68,69,1100000
66,66,0.004405286,0.00409436,64,71,71,57,57,57,59,57,57,57,59,58,58,58,61,61,61,61,61,475000
65,65,0.00660793,0.00385911,68,66,63,61,61,61,62,62,62,62,62,63,63,63,63,66,66,66,63,475000
53,73,0,0.00143653,69,48,49,54,54,54,52,53,53,53,52,51,51,51,50,44,44,44,50,120000
60,63,0.002202643,0.00166177,67,45,46,61,61,61,58,60,60,60,58,57,57,57,56,48,48,48,56,260000
63,65,0,0.003358577,65,55,50,51,51,51,57,54,54,54,57,55,55,55,59,55,55,55,59,375000
62,75,0.002202643,0.023071754,69,58,56,45,45,45,43,43,43,43,43,43,43,43,45,47,47,47,45,525000
66,70,0.004405286,0.005440794,64,65,68,64,64,64,68,67,67,67,68,68,68,68,68,67,67,67,68,825000
71,72,0.022026432,0.021958386,71,72,63,73,73,73,71,72,72,72,71,70,70,70,72,63,63,63,72,2800000
62,72,0.004405286,0.023071754,68,60,48,55,55,55,56,56,56,56,56,58,58,58,59,62,62,62,59,475000
61,68,0,0.002412569,66,58,54,51,51,51,53,51,51,51,53,51,51,51,53,52,52,52,53,300000
68,71,0.024229075,0.007442927,73,54,63,64,64,64,66,64,64,64,66,64,64,64,67,64,64,64,67,925000
73,76,0.035242291,0.023071754,74,70,70,67,67,67,73,71,71,71,73,72,72,72,73,68,68,68,73,5000000
55,67,0,0.001376466,71,43,46,53,53,53,57,55,55,55,57,56,56,56,57,52,52,52,57,160000
64,64,0.002202643,0.00409436,64,52,59,63,63,63,65,64,64,64,65,63,63,63,65,58,58,58,65,475000
67,70,0.011013216,0.007442927,69,67,63,67,67,67,68,68,68,68,68,66,66,66,68,61,61,61,68,975000
63,67,0,0.003088289,71,59,55,53,53,53,54,53,53,53,54,51,51,51,55,52,52,52,55,400000
69,69,0.024229075,0.008443993,75,65,52,59,59,59,62,60,60,60,62,64,64,64,64,67,67,67,64,925000
72,82,0.022026432,0.023071754,71,68,61,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,3800000
61,79,0.004405286,0.005440794,79,56,46,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,425000
53,62,0,0.000996061,63,53,37,50,50,50,50,52,52,52,50,53,53,53,51,54,54,54,51,90000
66,70,0.002202643,0.005440794,68,63,67,55,55,55,58,57,57,57,58,57,57,57,60,59,59,59,60,700000
68,68,0.00660793,0.006942394,69,62,63,68,68,68,64,66,66,66,64,64,64,64,64,59,59,59,64,900000
68,77,0.013215859,0.023071754,72,67,62,63,63,63,70,68,68,68,70,71,71,71,70,68,68,68,70,1400000
63,77,0.002202643,0.00794346,71,52,58,56,56,56,65,62,62,62,65,64,64,64,64,58,58,58,64,750000
70,79,0.00660793,0.023071754,72,65,66,59,59,59,62,62,62,62,62,65,65,65,64,68,68,68,64,2400000
64,70,0,0.004329611,64,53,44,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,450000
66,66,0.002202643,0.003038236,68,61,58,61,61,61,67,65,65,65,67,64,64,64,66,59,59,59,66,400000
65,76,0.002202643,0.006942394,68,57,49,58,58,58,65,62,62,62,65,62,62,62,65,58,58,58,65,925000
71,74,0.011013216,0.024961584,70,66,66,71,71,71,73,72,72,72,73,70,70,70,71,62,62,62,71,3000000
64,64,0.002202643,0.003658897,62,65,67,65,65,65,61,62,62,62,61,61,61,61,60,60,60,60,60,425000
64,74,0.019577911,0.023071754,67,45,49,38,38,38,33,33,33,33,33,31,31,31,35,36,36,36,35,2481203.671
68,70,0.00660793,0.008443993,66,53,65,61,61,61,68,66,66,66,68,69,69,69,68,65,65,65,68,1100000
61,75,0.004405286,0.004755064,71,50,53,51,51,51,49,49,49,49,49,49,49,49,51,52,52,52,51,500000
67,73,0.022026432,0.023071754,68,65,69,67,67,67,69,68,68,68,69,68,68,68,68,63,63,63,68,1000000
69,69,0.00660793,0.006441861,68,63,62,63,63,63,67,65,65,65,67,65,65,65,68,65,65,65,68,800000
59,64,0,0.001326413,64,52,45,56,56,56,59,57,57,57,59,57,57,57,59,52,52,52,59,210000
73,80,0.019823789,0.042980775,73,68,63,55,55,55,57,56,56,56,57,59,59,59,59,64,64,64,59,4800000
68,73,0.00660793,0.011447191,68,63,71,65,65,65,67,67,67,67,67,68,68,68,68,69,69,69,68,1200000
66,72,0.019823789,0.023071754,68,62,58,63,63,63,64,64,64,64,64,65,65,65,65,66,66,66,65,750000
56,67,0,0.001026093,67,52,49,53,53,53,56,55,55,55,56,56,56,56,57,56,56,56,57,150000
68,71,0.004405286,0.007442927,69,58,63,53,53,53,53,53,53,53,53,56,56,56,56,61,61,61,56,925000
52,76,0,0.001106178,71,42,37,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,90000
71,72,0.004405286,0.018454654,69,67,67,58,58,58,62,58,58,58,62,59,59,59,64,62,62,62,64,2200000
47,68,0,0.00061065,65,48,38,46,46,46,47,48,48,48,47,48,48,48,49,47,47,47,49,60000
67,67,0.015418502,0.006441861,70,66,49,68,68,68,70,69,69,69,70,69,69,69,69,65,65,65,69,825000
54,67,0.019577911,0.023071754,69.3698697,51,46,54,54,54,50,52,52,52,50,49,49,49,47,43,43,43,47,2481203.671
67,68,0.004405286,0.005440794,70,62,57,62,62,62,64,62,62,62,64,63,63,63,65,63,63,63,65,725000
62,73,0.002202643,0.004664968,69,60,60,63,63,63,59,62,62,62,59,60,60,60,59,54,54,54,59,525000
64,64,0.015418502,0.002502665,77,62,60,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,270000
60,65,0.002202643,0.001791908,67,57,47,60,60,60,58,59,59,59,58,57,57,57,55,51,51,51,55,280000
70,70,0.015418502,0.01445039,71,72,68,67,67,67,67,66,66,66,67,65,65,65,67,65,65,65,67,1500000
65,71,0.004405286,0.005440794,64,54,52,59,59,59,65,62,62,62,65,62,62,62,65,57,57,57,65,750000
63,64,0,0.002432591,65,64,62,51,51,51,56,54,54,54,56,55,55,55,58,57,57,57,58,350000
57,71,0,0.002262409,70,55,41,50,50,50,55,52,52,52,55,52,52,52,56,50,50,50,56,200000
61,68,0,0.002828012,67,56,52,58,58,58,60,59,59,59,60,58,58,58,62,55,55,55,62,350000
60,63,0,0.001581684,65,57,33,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,180000
63,74,0.002202643,0.005440794,73,55,60,59,59,59,64,63,63,63,64,64,64,64,64,60,60,60,64,625000
68,72,0.028634361,0.011447191,70,63,65,64,64,64,67,67,67,67,67,68,68,68,68,69,69,69,68,1100000
65,67,0.002202643,0.004940261,63,61,57,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,450000
69,77,0.004405286,0.011947724,69,64,62,58,58,58,56,57,57,57,56,58,58,58,59,64,64,64,59,1300000
71,75,0.011013216,0.032970113,71,71,74,66,66,66,69,69,69,69,69,71,71,71,70,72,72,72,70,3000000
64,67,0,0.00332354,62,65,56,53,53,53,55,53,53,53,55,52,52,52,56,52,52,52,56,475000
75,75,0.019823789,0.033470646,72,69,65,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,4500000
54,71,0.002202643,0.001491589,67,50,52,55,55,55,50,51,51,51,50,49,49,49,49,44,44,44,49,150000
63,63,0.004405286,0.000981045,71,61,58,45,45,45,44,43,43,43,44,44,44,44,46,47,47,47,46,110000
57,71,0.008810573,0.002462623,76,55,48,47,47,47,56,53,53,53,56,56,56,56,58,55,55,55,58,200000
66,66,0.00660793,0.004314595,70,64,57,63,63,63,65,65,65,65,65,65,65,65,67,65,65,65,67,625000
68,68,0,0.009945592,68,52,59,69,69,69,68,68,68,68,68,67,67,67,67,59,59,59,67,925000
70,74,0.011013216,0.015951989,68,66,54,53,53,53,53,53,53,53,53,54,54,54,56,58,58,58,56,2000000
51,73,0,0.000935997,71,54,37,47,47,47,48,48,48,48,48,50,50,50,50,52,52,52,50,80000
64,75,0.004405286,0.008443993,74,57,47,64,64,64,65,65,65,65,65,63,63,63,63,53,53,53,63,775000
63,76,0,0.006441861,62,63,62,60,60,60,62,63,63,63,62,64,64,64,63,63,63,63,63,700000
63,69,0,0.003018214,64,54,55,50,50,50,57,53,53,53,57,55,55,55,59,55,55,55,59,425000
55,62,0.002202643,0.000770821,67,48,39,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,90000
66,70,0.002202643,0.005440794,69,69,68,55,55,55,58,57,57,57,58,58,58,58,60,61,61,61,60,700000
71,76,0.019823789,0.01945572,75,66,61,54,54,54,63,60,60,60,63,61,61,61,66,62,62,62,66,2600000
61,69,0,0.003128332,69,60,57,60,60,60,62,62,62,62,62,62,62,62,62,61,61,61,62,375000
61,63,0,0.001716828,65,64,56,42,42,42,40,40,40,40,40,41,41,41,44,45,45,45,44,250000
68,71,0.004405286,0.007442927,65,62,68,66,66,66,70,68,68,68,70,67,67,67,69,61,61,61,69,1100000
55,67,0,0.001206285,61,49,47,45,45,45,52,48,48,48,52,49,49,49,53,49,49,49,53,130000
52,62,0,0.000490522,67,42,35,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,60000
63,71,0,0.00385911,64,63,60,58,58,58,57,58,58,58,57,58,58,58,59,60,60,60,59,475000
66,66,0.00660793,0.003063262,65,66,61,55,55,55,58,56,56,56,58,57,57,57,60,59,59,59,60,500000
66,66,0.019577911,0.023071754,72,65,67,58,58,58,59,58,58,58,59,58,58,58,61,60,60,60,61,2481203.671
69,69,0.004405286,0.004404691,70,68,64,51,51,51,50,51,51,51,50,53,53,53,54,60,60,60,54,425000
58,72,0,0.023071754,67,48,63,55,55,55,59,58,58,58,59,59,59,59,57,53,53,53,57,250000
63,63,0.00660793,0.002477639,65,60,48,50,50,50,51,50,50,50,51,51,51,51,53,53,53,53,53,290000
62,71,0.002202643,0.004329611,64,63,63,57,57,57,62,61,61,61,62,63,63,63,63,62,62,62,63,450000
64,69,0.002202643,0.004079345,65,66,48,64,64,64,62,63,63,63,62,62,62,62,61,56,56,56,61,625000
62,75,0,0.006441861,71,61,59,56,56,56,57,57,57,57,57,59,59,59,59,63,63,63,59,575000
64,69,0.013215859,0.005440794,71,57,56,60,60,60,65,62,62,62,65,62,62,62,65,57,57,57,65,600000
63,73,0,0.004589888,64,60,55,61,61,61,65,64,64,64,65,64,64,64,64,60,60,60,64,600000
64,69,0.002202643,0.003914169,65,51,55,61,61,61,65,63,63,63,65,62,62,62,65,56,56,56,65,600000
64,67,0.002202643,0.00332354,65,56,61,55,55,55,61,58,58,58,61,59,59,59,62,60,60,60,62,475000
56,65,0.004405286,0.001076146,69,53,38,38,38,38,35,35,35,35,35,34,34,34,36,36,36,36,36,120000
57,74,0.004405286,0.002337489,77,56,43,48,48,48,54,51,51,51,54,50,50,50,54,47,47,47,54,190000
72,72,0.022026432,0.017954121,72,67,70,60,60,60,58,58,58,58,58,59,59,59,60,64,64,64,60,2400000
69,72,0.013215859,0.023071754,75,58,57,57,57,57,59,57,57,57,59,56,56,56,61,59,59,59,61,1100000
62,71,0.002202643,0.003764009,69,60,60,57,57,57,60,60,60,60,60,61,61,61,62,62,62,62,62,450000
62,77,0.008810573,0.00794346,84,51,56,58,58,58,62,61,61,61,62,63,63,63,62,62,62,62,62,650000
56,68,0,0.001161237,60,50,54,45,45,45,45,44,44,44,45,45,45,45,48,48,48,48,48,140000
64,68,0,0.002752932,67,63,52,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,425000
62,62,0,0.00203717,66,55,45,57,57,57,62,60,60,60,62,61,61,61,62,60,60,60,62,240000
61,69,0,0.00303323,64,58,49,62,62,62,59,60,60,60,59,57,57,57,58,51,51,51,58,375000
66,66,0,0.023071754,67,61,61,41,41,41,40,39,39,39,40,41,41,41,43,46,46,46,43,525000
65,68,0.004405286,0.006441861,68,62,64,66,66,66,64,65,65,65,64,62,62,62,62,53,53,53,62,700000
57,62,0,0.000865922,61,59,39,53,53,53,57,56,56,56,57,57,57,57,57,54,54,54,57,140000
62,66,0.002202643,0.003488715,70,52,67,63,63,63,57,60,60,60,57,57,57,57,55,52,52,52,55,400000
63,68,0.002202643,0.003588822,66,66,66,59,59,59,61,61,61,61,61,63,63,63,63,65,65,65,63,400000
69,69,0.011013216,0.001266349,70,70,41,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,140000
71,71,0.008810573,0.01445039,66,68,70,70,70,70,70,71,71,71,70,71,71,71,71,72,72,72,71,2400000
62,64,0.002202643,0.003358577,62,57,68,60,60,60,63,62,62,62,63,63,63,63,63,62,62,62,63,375000
52,62,0,0.000445474,65,48,50,43,43,43,48,46,46,46,48,46,46,46,49,46,46,46,49,70000
60,63,0,0.00166177,62,56,58,61,61,61,54,57,57,57,54,54,54,54,53,49,49,49,53,260000
70,74,0.008810573,0.021457853,71,70,58,54,54,54,52,52,52,52,52,51,51,51,54,55,55,55,54,2000000
72,79,0.013215859,0.050989304,71,75,55,72,72,72,73,75,75,75,73,74,74,74,72,66,66,66,72,4400000
65,72,0.008810573,0.006942394,71,66,65,63,63,63,67,66,66,66,67,66,66,66,67,65,65,65,67,750000
60,69,0.004405286,0.023071754,67,57,53,61,61,61,62,62,62,62,62,63,63,63,63,62,62,62,63,280000
64,72,0,0.004940261,65,54,57,59,59,59,64,62,62,62,64,63,63,63,65,59,59,59,65,675000
60,60,0.002202643,0.001531631,68,53,55,61,61,61,56,58,58,58,56,54,54,54,53,46,46,46,53,220000
73,80,0.022026432,0.023071754,74,71,64,65,65,65,63,65,65,65,63,65,65,65,65,70,70,70,65,4800000
66,74,0.011013216,0.023071754,68,67,51,62,62,62,65,64,64,64,65,65,65,65,66,64,64,64,66,950000
62,63,0.002202643,0.002127266,67,56,43,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,240000
61,62,0.00660793,0.023071754,66,47,60,62,62,62,56,58,58,58,56,56,56,56,55,51,51,51,55,300000
71,71,0.013215859,0.010946658,72,73,63,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,1400000
67,67,0.00660793,0.005440794,69,58,61,68,68,68,64,66,66,66,64,65,65,65,63,59,59,59,63,675000
70,70,0.024229075,0.010946658,76,71,64,59,59,59,64,62,62,62,64,63,63,63,66,66,66,66,66,1200000
61,68,0.004405286,0.023071754,64,55,51,53,53,53,54,54,54,54,54,56,56,56,55,58,58,58,55,300000
65,75,0.004405286,0.007442927,69,57,62,59,59,59,66,65,65,65,66,66,66,66,66,61,61,61,66,875000
70,79,0.002202643,0.016452522,79,65,41,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,2100000
67,70,0.002202643,0.007442927,74,57,27,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,675000
58,68,0,0.001686796,64,43,50,56,56,56,59,57,57,57,59,57,57,57,59,53,53,53,59,200000
50,59,0,0.000405432,64,40,36,33,33,33,33,32,32,32,33,32,32,32,34,35,35,35,34,40000
63,68,0,0.003083284,65,61,57,60,60,60,64,63,63,63,64,64,64,64,64,63,63,63,64,475000
59,65,0,0.00167178,65,49,43,59,59,59,58,58,58,58,58,56,56,56,59,55,55,55,59,210000
65,66,0,0.003503731,66,52,56,45,45,45,39,40,40,40,39,41,41,41,42,48,48,48,42,500000
66,66,0.015418502,0.004940261,71,64,64,63,63,63,65,64,64,64,65,65,65,65,66,65,65,65,66,550000
68,70,0.002202643,0.008443993,65,66,60,64,64,64,69,68,68,68,69,69,69,69,70,65,65,65,70,1100000
72,73,0.015418502,0.032970113,70,75,63,71,71,71,74,73,73,73,74,72,72,72,73,65,65,65,73,3700000
52,65,0,0.00068573,67,42,41,43,43,43,43,42,42,42,43,43,43,43,45,45,45,45,45,80000
70,70,0.013215859,0.00794346,68,70,65,56,56,56,54,55,55,55,54,56,56,56,56,60,60,60,56,1000000
73,73,0.015418502,0.01294879,73,72,65,57,57,57,58,60,60,60,58,62,62,62,61,68,68,68,61,1600000
65,73,0.002202643,0.00794346,65,54,52,58,58,58,66,63,63,63,66,64,64,64,66,57,57,57,66,800000
72,76,0.017621145,0.023071754,70,66,64,48,48,48,44,45,45,45,44,46,46,46,46,52,52,52,46,3400000
66,78,0.017621145,0.023071754,63,61,58,58,58,58,59,59,59,59,59,60,60,60,60,63,63,63,60,1000000
53,75,0,0.001346434,68,53,47,37,37,37,35,35,35,35,35,35,35,35,37,39,39,39,37,120000
69,69,0.04185022,0.023071754,68,68,65,70,70,70,73,72,72,72,73,72,72,72,73,65,65,65,73,1100000
64,64,0.004405286,0.00409436,61,56,57,64,64,64,61,62,62,62,61,59,59,59,60,51,51,51,60,475000
65,74,0,0.004940261,65,52,31,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,625000
65,65,0.011013216,0.001256338,67,61,63,55,55,55,55,55,55,55,55,57,57,57,58,62,62,62,58,160000
60,78,0.002202643,0.004880197,78,51,64,53,53,53,57,57,57,57,57,60,60,60,58,60,60,60,58,425000
